0	464.3	1.7	4.9
200	2787.5	4.6	8.0
400	3562.8	5.8	9.6
600	4080.9	6.8	10.6
800	4424.3	8.1	11.3
1000	4773.9	8.2	12.6
1200	5351.1	9.7	13.7
1400	5756.1	10.2	14.4
1600	6118.4	11.1	15.3
1800	6467.6	11.9	15.8
2000	6807.2	12.5	16.5
2200	7107.0	13.1	17.3
2400	7528.2	13.8	17.8
2600	7871.7	14.9	18.9
2800	8328.1	15.7	19.7
3000	8574.6	16.1	20.2
3200	8821.7	16.7	20.9
3400	9168.2	17.2	21.5
3600	9451.3	17.8	22.4
3800	9802.2	18.3	23.4
4000	10214.1	19.2	23.6
4200	10579.4	20.5	24.6
4400	10780.0	21.0	24.8
4600	11019.3	21.5	25.7
4800	11367.9	22.0	26.1
5000	11568.2	22.3	26.5
5200	11770.1	22.2	26.5
5400	11991.8	22.8	27.1
5600	12291.8	23.4	27.8
5800	12501.7	23.9	28.3
6000	12590.6	24.1	28.5
6200	12742.3	24.7	28.8
6400	12908.7	24.7	29.1
6600	13106.6	24.8	29.9
6800	13278.0	25.5	30.2
7000	13430.7	25.8	30.6
7200	13645.7	26.1	30.9
7400	13850.7	26.4	31.3
7600	14027.0	26.9	31.7
7800	14281.0	26.5	32.3
8000	14531.8	27.3	32.6
8200	14785.1	28.0	33.1
8400	14886.8	28.0	33.6
8600	15080.5	28.5	33.9
8800	15136.4	28.6	34.2
9000	15401.8	29.0	34.6
9200	15477.7	29.4	34.7
9400	15710.3	30.0	35.3
9600	15961.2	29.7	35.7
9800	16222.0	30.5	36.2
10000	16288.3	31.0	36.3
10200	16301.7	30.9	36.6
10400	16473.9	31.1	36.9
10600	16611.9	31.4	37.0
10800	16706.2	31.1	37.2
11000	16771.7	31.5	37.6
11200	16982.9	32.0	37.7
11400	17111.2	32.3	37.9
11600	17240.0	32.2	38.4
11800	17267.1	32.3	38.8
12000	17396.2	32.6	38.8
12200	17457.0	32.9	38.8
12400	17642.7	33.5	39.4
12600	17685.5	33.5	39.4
12800	17681.9	33.7	39.5
13000	17733.2	33.6	40.2
13200	17950.7	34.0	40.3
13400	17973.2	34.3	40.9
13600	18054.9	34.3	40.8
13800	18288.6	34.5	41.2
14000	18396.4	34.7	41.4
14200	18569.0	35.2	42.0
14400	18929.1	35.6	42.1
14600	19050.7	36.2	42.7
14800	19255.3	36.6	43.1
15000	19332.4	36.7	43.0
15200	19514.8	36.8	43.4
15400	19582.3	37.0	43.8
15600	19723.1	37.6	44.0
15800	19865.0	36.7	43.9
16000	19949.8	37.5	44.5
16200	20076.8	37.7	44.9
16400	20025.3	37.2	45.0
16600	20121.9	37.7	45.1
16800	20263.0	38.1	45.4
17000	20327.9	38.4	45.4
17200	20461.0	38.7	45.6
17400	20634.6	38.2	45.8
17600	20799.9	38.8	46.2
17800	20803.8	38.6	46.7
18000	21008.0	38.6	46.6
18200	20979.0	39.5	46.8
18400	20878.7	39.0	46.6
18600	21146.8	39.3	47.2
18800	21090.6	39.6	47.1
19000	21423.6	40.1	47.3
19200	21361.6	39.9	47.8
19400	21498.3	40.4	47.9
19600	21533.6	40.7	48.0
19800	21583.1	40.3	48.3
20000	21699.7	40.8	48.4
20200	21829.7	40.7	48.6
20400	21901.1	41.1	49.0
20600	22014.0	41.7	49.1
20800	22284.8	42.3	49.8
21000	22266.6	42.4	49.9
21200	22458.9	42.7	50.4
21400	22462.8	42.6	50.4
21600	22450.1	42.7	50.5
21800	22627.5	43.2	50.5
22000	22871.1	43.0	51.1
22200	22855.6	43.5	51.4
22400	23046.5	43.5	51.1
22600	23046.8	43.5	51.6
22800	23057.6	43.6	51.9
23000	23235.8	43.6	51.6
23200	23414.3	44.1	51.9
23400	23468.7	44.5	52.4
23600	23577.5	44.3	52.6
23800	23633.3	44.6	52.9
24000	23767.1	44.8	53.2
24200	23771.7	44.7	53.1
24400	23697.4	45.0	52.8
24600	23740.8	44.7	53.4
24800	23936.9	45.8	53.1
