t	sumScr	maxInnSc	maxScr
212	2841.1	4.8	8.6
213	2856.9	4.6	8.2
214	2864.0	4.7	7.9
215	2877.3	4.8	8.3
216	2865.2	4.8	8.2
217	2874.2	4.6	8.4
218	2881.2	4.6	8.0
219	2881.8	4.5	8.3
220	2886.5	4.8	8.5
221	2875.4	4.6	8.3
222	2890.7	4.6	8.5
223	2895.6	4.6	8.3
224	2905.0	4.6	8.3
225	2905.3	4.5	8.1
226	2903.2	4.5	8.4
227	2899.6	4.5	8.4
228	2899.3	4.7	8.4
229	2924.7	4.7	8.3
230	2917.2	4.7	8.3
231	2918.5	4.7	8.1
232	2917.7	4.7	8.5
233	2926.4	4.7	8.6
234	2924.8	4.8	8.6
235	2933.7	4.8	8.4
236	2930.3	4.8	8.3
237	2935.6	4.7	8.2
238	2928.3	4.7	8.4
239	2938.1	4.7	8.6
240	2925.6	4.9	8.5
241	2939.1	4.6	8.2
242	2935.5	4.6	8.3
243	2940.5	4.6	8.4
244	2937.9	4.7	8.6
245	2935.8	4.6	8.4
246	2939.4	4.8	8.4
247	2955.4	4.7	8.5
248	2953.0	4.9	8.5
249	2952.2	4.9	8.6
250	2967.3	4.9	8.8
251	2956.6	4.9	8.3
252	2953.8	4.9	8.3
253	2959.7	4.9	8.6
254	2960.2	4.9	8.5
255	2975.1	4.9	8.3
256	2967.6	5.0	8.6
257	2965.6	5.0	8.6
258	2958.5	5.0	8.7
259	2982.0	4.9	8.3
260	2990.5	5.0	8.4
261	2986.6	5.0	8.7
262	2978.6	5.1	8.4
263	2981.7	5.1	8.6
264	2985.3	5.1	8.5
265	2997.9	5.1	8.7
266	2982.3	5.1	8.5
267	2989.7	5.1	8.7
268	2985.6	5.2	8.4
269	2993.4	5.3	8.5
270	3000.8	5.3	8.8
271	3002.6	5.3	8.6
272	2990.5	5.3	8.5
273	3002.1	5.1	8.7
274	3000.8	5.1	8.6
275	3006.0	5.2	8.7
276	3004.8	5.2	8.4
277	3015.2	5.2	8.8
278	3018.3	5.2	8.4
279	3026.6	5.2	8.5
280	3024.8	5.2	8.7
281	3021.8	5.1	8.8
282	3035.1	5.1	8.7
283	3046.0	5.1	8.8
284	3048.5	5.1	8.9
285	3061.7	5.1	8.7
286	3065.6	5.2	8.8
287	3068.8	5.1	8.9
288	3071.0	5.3	8.6
289	3088.4	5.3	8.7
290	3093.4	5.1	8.7
291	3103.8	5.1	8.7
292	3112.9	5.4	8.8
293	3118.4	5.4	8.9
294	3128.4	5.3	8.9
295	3133.8	5.1	8.7
296	3120.4	5.1	8.7
297	3144.0	5.1	8.8
298	3154.8	5.1	8.6
299	3161.3	5.2	8.7
300	3156.6	5.4	8.6
301	3171.1	5.4	8.6
302	3181.6	5.1	8.9
303	3181.7	5.1	8.9
304	3195.0	5.1	9.1
305	3187.7	5.1	9.0
306	3194.1	5.2	9.0
307	3206.2	5.2	8.6
308	3203.4	5.2	8.9
309	3202.0	5.2	8.9
310	3205.7	5.2	9.1
311	3211.1	5.1	9.3
312	3225.8	5.2	8.8
313	3211.8	5.2	8.8
314	3231.4	5.2	9.1
315	3221.9	5.2	8.8
316	3224.4	5.2	8.8
317	3230.7	5.4	9.3
318	3236.4	5.4	9.1
319	3225.6	5.4	8.8
320	3241.9	5.4	9.1
321	3248.1	5.4	9.0
322	3251.0	5.5	8.8
323	3258.7	5.5	9.2
324	3257.6	5.5	8.9
325	3255.1	5.5	9.0
326	3262.2	5.5	9.1
327	3266.3	5.3	9.3
328	3282.5	5.5	9.0
329	3288.5	5.5	9.0
330	3273.4	5.5	8.7
331	3281.7	5.6	8.7
332	3301.0	5.5	9.2
333	3298.2	5.6	9.4
334	3297.0	5.6	8.9
335	3313.9	5.6	9.2
336	3313.3	5.5	9.3
337	3298.5	5.7	8.9
338	3318.1	5.6	9.0
339	3313.8	5.6	8.9
340	3312.0	5.6	9.1
341	3331.8	5.6	8.9
342	3317.0	5.7	9.2
343	3332.7	5.7	9.0
344	3332.7	5.7	9.0
345	3335.5	5.7	9.0
346	3340.1	5.6	8.9
347	3357.6	5.6	9.2
348	3356.5	5.5	9.2
349	3355.8	5.5	9.1
350	3368.7	5.4	9.1
351	3375.2	5.5	9.1
352	3369.2	5.6	9.2
353	3379.6	5.3	9.3
354	3383.6	5.3	9.1
355	3402.4	5.3	9.1
356	3397.5	5.3	9.3
357	3402.1	5.3	9.5
358	3407.3	5.1	9.2
359	3410.5	5.8	9.2
360	3404.6	5.7	9.5
361	3419.8	5.7	9.0
362	3419.2	6.0	9.4
363	3430.2	5.5	9.2
364	3430.9	6.0	9.5
365	3436.3	5.7	9.4
366	3431.8	5.8	9.4
367	3436.4	5.8	9.0
368	3454.4	5.7	9.5
369	3456.3	5.7	9.3
370	3444.9	5.8	9.3
371	3455.3	5.7	9.4
372	3461.1	5.5	9.5
373	3463.7	5.5	9.4
374	3465.8	5.4	9.5
375	3474.4	5.4	9.3
376	3471.8	5.4	9.6
377	3481.9	5.7	9.4
378	3482.6	5.6	9.6
379	3497.6	5.4	9.4
380	3486.6	5.5	9.2
381	3496.5	5.7	9.5
382	3514.5	5.6	9.6
383	3508.1	5.4	9.7
384	3515.3	5.6	9.5
385	3513.5	5.7	9.6
386	3520.2	5.7	9.5
