t	sumScr	maxInnSc	maxScr
0	27.2	1.7	1.7
1	556.3	1.7	1.7
2	606.9	1.8	1.8
3	666.4	1.8	1.8
4	727.8	1.8	1.8
5	770.2	1.9	1.9
6	799.4	1.9	1.9
7	825.2	1.9	1.9
8	839.7	1.9	1.9
9	855.2	1.9	1.9
10	869.5	1.9	1.9
11	884.1	1.9	1.9
12	897.6	1.9	1.9
13	912.7	1.9	1.9
14	924.9	1.9	1.9
15	934.9	1.9	1.9
16	940.7	1.9	1.9
17	943.9	1.9	1.9
18	946.3	1.9	1.9
19	947.4	1.9	1.9
20	946.9	1.9	1.9
21	947.0	1.9	1.9
22	946.3	1.9	1.9
23	947.2	1.9	1.9
24	947.7	1.9	1.9
25	948.5	1.9	1.9
26	947.4	1.9	1.9
27	947.9	1.9	1.9
28	948.1	1.9	1.9
29	947.8	1.9	1.9
30	947.3	2.0	2.0
31	948.5	2.1	2.1
32	948.6	2.1	2.1
33	949.7	2.1	2.1
34	952.1	2.2	2.2
35	956.2	2.2	2.2
36	961.9	2.2	2.2
37	966.6	2.2	2.2
38	978.8	2.2	2.2
39	988.3	2.2	2.2
40	996.4	2.2	2.2
41	1004.5	2.1	2.1
42	1012.9	2.1	2.1
43	1023.2	2.1	2.1
44	1032.2	2.1	2.1
45	1038.8	2.1	2.1
46	1043.8	2.2	2.2
47	1045.4	2.2	2.2
48	1047.4	2.2	2.2
49	1048.4	2.3	2.3
50	1050.2	2.3	2.3
51	1050.8	2.3	2.3
52	1052.2	2.2	2.2
53	1052.0	2.2	2.2
54	1053.5	2.2	2.2
55	1056.0	2.2	2.2
56	1060.0	2.2	2.2
57	1063.8	2.2	2.2
58	1068.2	2.2	2.2
59	1073.3	2.2	2.2
60	1078.2	2.2	2.2
61	1083.3	2.2	2.2
62	1086.1	2.2	2.2
63	1090.8	2.2	2.2
64	1092.4	2.2	2.2
65	1094.1	2.2	2.2
66	1096.4	2.2	2.2
67	1096.1	2.2	2.2
68	1095.1	2.2	2.2
69	1097.4	2.2	2.2
70	1097.5	2.2	2.2
71	1095.9	2.2	2.2
72	1096.7	2.2	2.2
73	1094.7	2.2	2.2
74	1096.5	2.2	2.2
75	1095.7	2.2	2.2
76	1096.1	2.3	2.3
77	1095.3	2.3	2.3
78	1098.0	2.4	2.4
79	1098.3	2.3	2.3
80	1098.0	2.3	2.3
81	1097.7	2.3	2.3
82	1097.3	2.3	2.3
83	1097.1	2.3	2.3
84	1096.9	2.3	2.3
85	1097.5	2.3	2.3
86	1098.2	2.3	2.3
87	1098.1	2.3	2.3
88	1098.4	2.3	2.3
89	1098.2	2.3	2.3
90	1099.4	2.3	2.3
91	1100.2	2.3	2.3
92	1100.5	2.3	2.3
93	1101.2	2.3	2.3
94	1102.5	2.3	2.3
95	1105.0	2.3	2.3
96	1107.0	2.3	2.3
97	1109.4	2.3	2.3
98	1112.8	2.3	2.3
99	1117.9	2.3	2.3
100	1121.7	2.3	2.3
101	1125.9	2.3	2.3
102	1127.3	2.3	2.3
103	1133.3	2.3	2.3
104	1138.5	2.3	2.3
105	1139.9	2.3	2.3
106	1141.7	2.3	2.3
107	1143.8	2.3	2.3
108	1143.4	2.3	2.3
109	1145.5	2.3	2.3
110	1146.5	2.3	2.3
111	1146.9	2.3	2.3
112	1148.1	2.3	2.3
113	1146.0	2.3	2.3
114	1145.8	2.4	2.4
115	1146.5	2.4	2.4
116	1146.0	2.3	2.3
117	1146.1	2.3	2.3
118	1147.8	2.3	2.3
119	1146.6	2.3	2.3
120	1145.4	2.3	2.3
121	1146.0	2.3	2.3
122	1145.7	2.3	2.3
123	1147.8	2.3	2.3
124	1147.5	2.3	2.3
125	1147.1	2.3	2.3
126	1146.7	2.3	2.3
127	1146.9	2.3	2.3
128	1146.2	2.3	2.3
129	1146.7	2.3	2.3
130	1147.3	2.3	2.3
131	1147.8	2.4	2.4
132	1146.9	2.4	2.4
133	1147.7	2.4	2.4
134	1151.2	2.5	2.5
135	1152.5	2.5	2.5
136	1153.3	2.5	2.5
137	1161.9	2.5	2.5
138	1169.9	2.4	2.4
139	1178.0	2.4	2.4
140	1184.8	2.4	2.4
141	1191.3	2.5	2.5
142	1194.9	2.4	2.4
143	1195.2	2.4	2.4
144	1195.6	2.4	2.4
145	1196.6	2.4	2.4
146	1197.9	2.4	2.4
147	1196.4	2.4	2.4
148	1197.8	2.4	2.4
149	1195.5	2.5	2.5
150	1197.0	2.5	2.5
151	1197.1	2.5	2.5
152	1196.3	2.5	2.5
153	1197.5	2.5	2.5
154	1195.2	2.6	2.6
155	1195.7	2.6	2.6
156	1197.3	2.6	2.6
157	1197.7	2.6	2.6
158	1196.3	2.6	2.6
159	1200.1	2.6	2.6
160	1201.7	2.6	2.6
161	1203.4	2.6	2.6
162	1205.4	2.6	2.6
163	1208.3	2.6	2.6
164	1210.8	2.6	2.6
165	1219.8	2.6	2.6
166	1225.1	2.7	2.7
167	1232.5	2.7	2.7
168	1240.0	2.7	2.7
169	1244.2	2.7	2.7
170	1252.4	2.7	2.7
171	1261.0	2.7	2.7
172	1268.1	2.7	2.7
173	1276.7	2.7	2.7
174	1281.5	2.7	2.7
175	1282.8	2.7	2.7
176	1289.6	2.7	2.7
177	1291.8	2.7	2.7
178	1298.7	2.7	2.7
179	1301.8	2.7	2.7
180	1306.4	2.7	2.7
181	1309.2	2.7	2.7
182	1314.2	2.7	2.7
183	1314.9	2.7	2.7
184	1316.1	2.7	2.7
185	1319.1	2.7	2.7
186	1323.4	2.7	2.7
187	1327.7	2.7	2.7
188	1329.9	2.7	2.7
189	1332.8	2.7	2.7
190	1335.5	2.7	2.7
191	1336.8	2.7	2.7
192	1339.4	2.8	2.8
193	1338.9	2.8	2.8
194	1343.3	2.8	2.8
195	1343.5	2.8	2.8
196	1342.8	2.8	2.8
197	1345.0	2.8	2.8
198	1349.4	2.8	2.8
199	1349.0	2.8	2.8
200	1351.0	2.8	2.8
201	1352.4	2.8	2.8
202	1351.6	2.8	2.8
203	1353.5	2.8	2.8
204	1356.7	2.8	2.8
205	1360.4	2.8	2.8
206	1365.0	2.8	2.8
207	1369.5	2.8	2.8
208	1374.1	2.8	2.8
209	1377.8	2.8	2.8
210	1382.0	2.8	2.8
211	1383.8	2.8	2.8
212	1387.8	2.8	2.8
213	1388.7	2.8	2.8
214	1389.7	2.8	2.8
215	1390.7	2.8	2.8
216	1390.2	2.8	2.8
217	1390.2	2.8	2.8
218	1391.2	2.8	2.8
219	1392.9	2.8	2.8
220	1394.9	2.8	2.8
221	1394.1	2.8	2.8
222	1393.5	2.8	2.8
223	1395.4	2.8	2.8
224	1393.4	2.8	2.8
225	1394.1	2.8	2.8
226	1394.5	2.8	2.8
227	1397.6	2.8	2.8
228	1396.8	2.8	2.8
229	1396.3	2.8	2.8
230	1395.6	2.8	2.8
231	1395.9	2.8	2.8
232	1395.7	2.8	2.8
233	1396.4	2.8	2.8
234	1396.8	2.8	2.8
235	1394.1	2.8	2.8
236	1395.5	2.8	2.8
237	1395.2	2.8	2.8
238	1395.5	2.8	2.8
239	1393.7	2.8	2.8
240	1392.8	2.8	2.8
241	1393.3	2.8	2.8
242	1394.1	2.8	2.8
243	1395.0	2.8	2.8
244	1396.0	2.8	2.8
245	1395.0	2.8	2.8
246	1396.0	2.8	2.8
247	1394.9	2.8	2.8
248	1394.0	2.8	2.8
249	1393.7	2.8	2.8
250	1395.3	2.8	2.8
251	1394.1	2.8	2.8
252	1394.8	2.9	2.9
253	1395.0	2.9	2.9
254	1396.9	2.9	2.9
255	1397.1	2.8	2.8
256	1394.9	2.8	2.8
257	1393.1	2.8	2.8
258	1395.5	2.8	2.8
259	1396.7	2.8	2.8
260	1394.4	2.8	2.8
261	1394.0	2.8	2.8
262	1394.3	2.8	2.8
263	1396.0	2.8	2.8
264	1396.6	2.8	2.8
265	1395.4	2.8	2.8
266	1395.7	2.9	2.9
267	1395.5	2.8	2.8
268	1394.1	2.8	2.8
269	1395.9	2.8	2.8
270	1397.4	2.8	2.8
271	1395.1	2.8	2.8
272	1394.6	2.8	2.8
273	1394.2	2.8	2.8
274	1395.2	2.8	2.8
275	1395.2	2.8	2.8
276	1395.9	2.8	2.8
277	1395.3	2.8	2.8
278	1395.8	2.8	2.8
279	1395.5	2.8	2.8
280	1396.5	2.8	2.8
281	1394.3	2.8	2.8
282	1395.2	2.8	2.8
283	1395.6	2.8	2.8
284	1394.9	2.8	2.8
285	1393.6	2.8	2.8
286	1392.5	2.8	2.8
287	1394.0	2.8	2.8
288	1393.2	2.8	2.8
289	1393.7	2.8	2.8
290	1394.9	2.8	2.8
291	1395.3	2.8	2.8
292	1393.6	2.8	2.8
293	1394.6	2.8	2.8
294	1394.7	2.8	2.8
295	1394.5	2.8	2.8
296	1394.6	2.8	2.8
297	1393.8	2.8	2.8
298	1394.9	2.8	2.8
299	1396.2	2.8	2.8
300	1395.8	2.8	2.8
301	1395.8	2.8	2.8
302	1394.8	2.8	2.8
303	1393.9	2.8	2.8
304	1395.1	2.8	2.8
305	1395.5	2.8	2.8
306	1393.8	2.8	2.8
307	1393.4	2.8	2.8
308	1394.9	2.8	2.8
309	1393.2	2.8	2.8
310	1395.4	2.8	2.8
311	1395.6	2.9	2.9
312	1397.5	2.9	2.9
313	1394.7	2.9	2.9
314	1393.8	2.9	2.9
315	1393.3	2.9	2.9
316	1397.1	2.9	2.9
317	1398.0	2.9	2.9
318	1396.4	2.9	2.9
319	1399.5	2.9	2.9
320	1398.5	2.9	2.9
321	1400.7	2.9	2.9
322	1403.4	2.9	2.9
323	1403.2	2.9	2.9
324	1403.0	2.9	2.9
325	1403.1	2.9	2.9
326	1404.6	2.9	2.9
327	1407.1	2.9	2.9
328	1409.5	2.9	2.9
329	1412.2	2.9	2.9
330	1411.8	2.9	2.9
331	1413.6	2.9	2.9
332	1419.1	2.9	2.9
333	1421.4	2.9	2.9
334	1423.3	2.9	2.9
335	1424.5	2.9	2.9
336	1427.0	2.9	2.9
337	1429.2	2.9	2.9
338	1431.4	2.9	2.9
339	1433.7	2.9	2.9
340	1436.2	2.9	2.9
341	1435.1	2.9	2.9
342	1438.7	2.9	2.9
343	1440.2	2.9	2.9
344	1439.3	2.9	2.9
345	1439.8	2.9	2.9
346	1441.6	2.9	2.9
347	1441.9	2.9	2.9
348	1443.4	2.9	2.9
349	1443.9	2.9	2.9
350	1442.9	2.9	2.9
351	1445.8	2.9	2.9
352	1444.9	2.9	2.9
353	1445.2	2.9	2.9
354	1443.5	2.9	2.9
355	1442.8	2.9	2.9
356	1442.1	2.9	2.9
357	1444.3	2.9	2.9
358	1443.0	2.9	2.9
359	1445.9	2.9	2.9
360	1445.4	2.9	2.9
361	1442.0	3.0	3.0
362	1444.2	2.9	2.9
363	1444.7	2.9	2.9
364	1444.9	2.9	2.9
365	1443.9	2.9	2.9
366	1444.9	2.9	2.9
367	1444.4	2.9	2.9
368	1444.7	2.9	2.9
369	1446.1	2.9	2.9
370	1444.8	2.9	2.9
371	1445.8	2.9	2.9
372	1443.4	2.9	2.9
373	1442.1	2.9	2.9
374	1446.2	2.9	2.9
375	1445.3	2.9	2.9
376	1446.5	2.9	2.9
377	1445.4	2.9	2.9
378	1444.2	2.9	2.9
379	1443.3	2.9	2.9
380	1444.0	2.9	2.9
381	1445.7	2.9	2.9
382	1446.6	2.9	2.9
383	1444.3	2.9	2.9
384	1443.6	2.9	2.9
385	1444.8	2.9	2.9
386	1444.4	2.9	2.9
387	1442.7	2.9	2.9
388	1442.3	2.9	2.9
389	1442.0	2.9	2.9
390	1441.7	2.9	2.9
391	1445.7	2.9	2.9
392	1446.0	3.0	3.0
